Revenue,January,February,March,April,May,June,July,August,September,October,November,December,Total
Gross Revenue,"$84,672.00 ","$84,977 ","$85,284 ","$85,592 ","$85,901 ","$186,211 ","$186,522 ","$186,834 ","$87,148 ","$87,463 ","$87,778 ","$88,095 ","$1,336,477 "
Cost of Goods Sold,"$31,455.00 ","$31,568 ","$31,682 ","$31,696 ","$31,711 ","$61,806 ","$71,814 ","$71,838 ","$31,874 ","$31,491 ","$31,609 ","$32,726 ","$491,270 "
Gross Profit ,"$53,217 ","$53,409 ","$53,602 ","$53,896 ","$54,190 ","$124,405 ","$114,708 ","$114,996 ","$55,274 ","$55,972 ","$56,169 ","$55,369 ","$845,207 "
Operating Expenses,,,,,,,,,,,,,
Research and Development,"$6,050 ","$6,072 ","$6,095 ","$6,117 ","$6,140 ","$6,163 ","$6,186 ","$6,199 ","$6,232 ","$6,256 ","$6,279 ","$6,302 ","$74,091 "
Sales and Marketing,"$4,187 ","$4,203 ","$4,220 ","$4,236 ","$4,253 ","$4,270 ","$4,287 ","$4,204 ","$4,221 ","$4,238 ","$4,255 ","$4,272 ","$50,846 "
General and Administrative,$641 ,$640 ,$638 ,$636 ,$635 ,$632 ,$629 ,$627 ,$625 ,$625 ,$623 ,$620 ,"$7,571 "
Salaries and Wages,"$31,455 ","$31,468 ","$31,482 ","$31,496 ","$31,511 ","$31,526 ","$31,542 ","$31,558 ","$31,574 ","$31,591 ","$31,609 ","$31,626 ","$378,438 "
Interest,$341 ,$339 ,$338 ,$337 ,$336 ,$335 ,$334 ,$333 ,$332 ,$331 ,$330 ,$329 ,"$4,015 "
Rent and Utilities,"$5,166 ","$5,184 ","$5,203 ","$5,222 ","$5,241 ","$5,259 ","$5,278 ","$5,297 ","$5,317 ","$5,336 ","$5,355 ","$5,374 ","$63,232 "
Other,"$1,000 ","$1,003 ","$1,007 ","$1,010 ","$1,014 ","$1,018 ","$1,021 ","$1,025 ","$1,029 ","$1,032 ","$1,036 ","$1,040 ","$12,235 "
Total Operating Expenses ,"$48,840 ","$48,909 ","$48,983 ","$49,054 ","$49,130 ","$49,203 ","$49,277 ","$49,243 ","$49,330 ","$49,409 ","$49,487 ","$49,563 ","$590,428 "
Operating Income (EBIT),,,,,,,,,,,,,
Income Before Taxes,"$4,377 ","$4,500 ","$4,619 ","$4,842 ","$5,060 ","$75,202 ","$65,431 ","$65,753 ","$5,944 ","$6,563 ","$6,682 ","$5,806 ","$254,779 "
Taxes,$919 ,$945 ,$970 ,"$1,017 ","$1,063 ","$15,792 ","$13,741 ","$13,808 ","$1,248 ","$1,378 ","$1,403 ","$1,219 ","$53,503 "
Net Income ,"$3,458 ","$3,555 ","$3,649 ","$3,825 ","$3,997 ","$59,410 ","$51,690 ","$51,945 ","$4,696 ","$5,185 ","$5,279 ","$4,586 ","$201,275 "
