Revenue,January,February,March,April,May,June,July,August,September,October,November,December,Total
Gross Revenue,"$84,211 ","$91,016 ","$81,050 ","$92,039 ","$95,835 ","$189,749 ","$192,491 ","$192,065 ","$83,303 ","$93,916 ","$87,058 ","$94,905 ","$1,377,638 "
Cost of Goods Sold,"$31,950 ","$30,624 ","$34,234 ","$36,226 ","$34,230 ","$61,991 ","$74,615 ","$74,065 ","$34,446 ","$34,686 ","$32,968 ","$36,298 ","$516,333 "
Gross Profit ,"$52,262 ","$60,392 ","$46,816 ","$55,813 ","$61,605 ","$127,758 ","$117,876 ","$118,000 ","$48,857 ","$59,230 ","$54,090 ","$58,607 ","$861,306 "
Operating Expenses,,,,,,,,,,,,,
Research and Development,"$5,539 ","$6,684 ","$6,607 ","$6,758 ","$6,425 ","$5,652 ","$6,626 ","$6,610 ","$6,695 ","$5,892 ","$7,042 ","$6,403 ","$76,935 "
Sales and Marketing,"$4,456 ","$3,971 ","$4,412 ","$4,100 ","$4,082 ","$4,302 ","$4,636 ","$3,950 ","$4,111 ","$4,414 ","$4,514 ","$4,192 ","$51,139 "
General and Administrative,$610 ,$652 ,$616 ,$675 ,$600 ,$605 ,$639 ,$620 ,$583 ,$667 ,$603 ,$600 ,"$7,471 "
Salaries and Wages,"$30,826 ","$30,239 ","$31,039 ","$30,019 ","$34,965 ","$30,220 ","$32,526 ","$33,245 ","$34,840 ","$32,401 ","$32,102 ","$28,491 ","$380,913 "
Interest,$329 ,$376 ,$342 ,$380 ,$371 ,$322 ,$340 ,$328 ,$356 ,$376 ,$339 ,$314 ,"$4,171 "
Rent and Utilities,"$5,080 ","$5,532 ","$5,052 ","$5,692 ","$5,747 ","$5,354 ","$4,779 ","$6,028 ","$4,914 ","$4,992 ","$5,035 ","$5,779 ","$63,984 "
Other,"$1,081 ","$1,118 ","$1,081 ",$996 ,"$1,057 ","$1,053 ","$1,130 ","$1,086 ",$990 ,"$1,016 ","$1,007 ","$1,076 ","$12,692 "
Total Operating Expenses ,"$47,920 ","$48,573 ","$49,149 ","$48,622 ","$53,247 ","$47,509 ","$50,676 ","$51,867 ","$52,489 ","$49,757 ","$50,641 ","$46,856 ","$597,305 "
Operating Income (EBIT),,,,,,,,,,,,,
Income Before Taxes,"$4,341 ","$11,820 ","($2,332)","$7,192 ","$8,358 ","$80,248 ","$67,200 ","$66,133 ","($3,632)","$9,473 ","$3,449 ","$11,750 ","$264,000 "
Taxes,$912 ,"$2,482 ",($490),"$1,510 ","$1,755 ","$16,852 ","$14,112 ","$13,888 ",($763),"$1,989 ",$724 ,"$2,468 ","$55,440 "
Net Income ,"$3,430 ","$9,338 ","($1,843)","$5,681 ","$6,602 ","$63,396 ","$53,088 ","$52,245 ","($2,869)","$7,484 ","$2,725 ","$9,283 ","$208,560 "
